"","X","nuvirdi","teg_eign","ibm2","fjbilsk","fjherb","fjstof","matssvaedi","nafn_baer"
"18281",18281,20200,"Íbúðareign",124.6,0,4,1,6210,"Húsavík"
"18282",18282,8500,"Parhús",109.9,0,3,1,6210,"Húsavík"
"18283",18283,19886,"Íbúðareign",103.1,1,2,1,150,"Seljahverfi"
"18284",18284,35212,"Íbúðareign",232.8,0,6,1,3000,"Akranes"
"18285",18285,21496,"Íbúðareign",73.4,0,1,1,630,"Hafnarfjörður - Vellir"
"18286",18286,22986,"Íbúðareign",86.7,0,2,1,130,"Grafarvogur: Rimar, Engi, Víkur, Borgir"
"18287",18287,12773,"Íbúðareign",81.4,0,3,1,7210,"Höfn"
"18288",18288,26870,"Íbúðareign",97,1,2,1,600,"Hafnarfjörður"
"18289",18289,28991,"Íbúðareign",87.8,1,2,1,340,"Kópavogur: Lindir, Salir"
"18290",18290,21093,"Íbúðareign",76.9,0,2,1,200,"Árbær"
"18291",18291,30210,"Raðhús",117.8,0,4,2,281,"Réttarholt"
"18292",18292,32896,"Raðhús",83.5,0,2,1,530,"Garðabær: Vestan Hraunholtsbrautar"
"18293",18293,30500,"Einbýlishús",73.4,0,2,1,300,"Kópavogur: Vesturbær"
"18294",18294,25281,"Íbúðareign",89.5,0,3,1,320,"Kópavogur: Austurbær"
"18295",18295,27719,"Íbúðareign",94.9,1,2,1,340,"Kópavogur: Lindir, Salir"
"18296",18296,57750,"Parhús",193.1,0,3,2,340,"Kópavogur: Lindir, Salir"
"18297",18297,73000,"Einbýlishús",226.6,0,5,2,150,"Seljahverfi"
"18298",18298,26393,"Íbúðareign",133.6,0,4,1,200,"Árbær"
"18299",18299,37500,"Íbúðareign",109.8,1,3,1,340,"Kópavogur: Lindir, Salir"
"18300",18300,22958,"Íbúðareign",100.3,0,2,2,160,"Hólar, Berg"
"18301",18301,28286,"Íbúðareign",79,0,2,1,270,"Norðlingaholt"
"18302",18302,26969,"Íbúðareign",73.7,0,2,1,270,"Norðlingaholt"
"18303",18303,33537,"Íbúðareign",114.9,0,2,1,281,"Réttarholt"
"18304",18304,10469,"Íbúðareign",57.6,0,1,1,3000,"Akranes"
"18305",18305,23592,"Raðhús",94.5,0,3,1,6040,"Akureyri: Glerárhverfi"
"18306",18306,13601,"Einbýlishús",60.5,0,2,1,2050,"Keflavík"
"18307",18307,24886,"Íbúðareign",102.7,0,2,2,600,"Hafnarfjörður"
"18308",18308,71601,"Einbýlishús",262.9,0,5,2,600,"Hafnarfjörður"
"18309",18309,29389,"Raðhús",84.8,0,3,1,500,"Garðabær"
"18310",18310,16900,"Íbúðareign",52.2,0,1,1,600,"Hafnarfjörður"
"18311",18311,23731,"Íbúðareign",62.7,1,1,1,350,"Kópavogur: Hvörf, Þing"
"18312",18312,49886,"Einbýlishús",197.2,0,6,1,320,"Kópavogur: Austurbær"
"18313",18313,32563,"Íbúðareign",104.3,0,3,1,330,"Kópavogur: Hjallar, Smárar"
"18314",18314,15914,"Einbýlishús",136,0,5,1,7190,"Djúpivogur"
"18315",18315,35186,"Íbúðareign",106.9,0,3,1,270,"Norðlingaholt"
"18316",18316,37913,"Íbúðareign",120.7,1,3,1,680,"Hafnarfjörður - Börð"
"18317",18317,19886,"Íbúðareign",56,0,1,1,120,"Grafarvogur: Hamrar, Foldir, Hús"
"18318",18318,44741,"Íbúðareign",91.1,1,2,1,20,"Miðbær: Frá Tjörn að Snorrabraut"
"18319",18319,20686,"Íbúðareign",70.7,0,1,1,640,"Hafnarfjörður - Ásland"
"18320",18320,62845,"Einbýlishús",211.9,0,5,1,70,"Melar: Að sjó"
"18321",18321,29396,"Íbúðareign",106,0,2,1,840,"Mosfellsbær: Höfðar, Hlíðar"
"18322",18322,13602,"Íbúðareign",93.1,0,2,1,2040,"Njarðvík"
"18323",18323,27731,"Íbúðareign",86.5,0,2,1,80,"Hlíðar"
"18324",18324,29389,"Íbúðareign",63.2,0,1,1,20,"Miðbær: Frá Tjörn að Snorrabraut"
"18325",18325,11484,"Einbýlishús",124,0,3,1,2020,"Sandgerði"
"18326",18326,57751,"Íbúðareign",144.9,1,3,1,300,"Kópavogur: Vesturbær"
"18327",18327,34895,"Raðhús",140.5,0,4,3,161,"Fell"
"18328",18328,27931,"Íbúðareign",85.4,1,2,1,72,"Hagar/Melar vestan Hofsvallagötu"
"18329",18329,17474,"Íbúðareign",56.2,0,1,1,200,"Árbær"
"18330",18330,22688,"Íbúðareign",73.5,0,2,1,91,"Háaleiti/Skeifa"
"18331",18331,28386,"Íbúðareign",88,0,2,1,281,"Réttarholt"
"18332",18332,19000,"Einbýlishús",208,0,5,1,4140,"Bolungarvík"
"18333",18333,18341,"Íbúðareign",83.9,0,2,1,6040,"Akureyri: Glerárhverfi"
"18334",18334,26474,"Íbúðareign",115.1,1,4,1,6040,"Akureyri: Glerárhverfi"
"18335",18335,16765,"Íbúðareign",55,0,1,1,6010,"Akureyri: Naustahverfi"
"18336",18336,14908,"Íbúðareign",54.9,0,1,1,6040,"Akureyri: Glerárhverfi"
"18337",18337,24157,"Íbúðareign",77,0,1,2,320,"Kópavogur: Austurbær"
"18338",18338,24300,"Íbúðareign",87.8,1,2,1,340,"Kópavogur: Lindir, Salir"
"18339",18339,16900,"Íbúðareign",44.9,0,1,1,320,"Kópavogur: Austurbær"
"18340",18340,17940,"Parhús",80.7,0,2,1,7110,"Egilsstaðir"
"18341",18341,26195,"Íbúðareign",84.4,0,1,1,100,"Laugarneshverfi/Vogar"
"18342",18342,35841,"Íbúðareign",122,1,3,1,850,"Mosfellsbær: Helgafell"
"18343",18343,26311,"Parhús",101.7,0,3,1,5110,"Sauðárkrókur"
"18344",18344,51591,"Raðhús",171.5,0,4,2,500,"Garðabær"
"18345",18345,55313,"Íbúðareign",108.6,1,2,1,20,"Miðbær: Frá Tjörn að Snorrabraut"
"18346",18346,26497,"Íbúðareign",77.3,0,2,1,91,"Háaleiti/Skeifa"
"18347",18347,28231,"Íbúðareign",72.2,0,2,1,100,"Laugarneshverfi/Vogar"
"18348",18348,39902,"Einbýlishús",148.4,0,4,1,150,"Seljahverfi"
"18349",18349,23878,"Íbúðareign",70,0,1,1,810,"Mosfellsbær: Teigar, Krikar"
"18350",18350,17996,"Íbúðareign",73.3,0,2,1,161,"Fell"
"18351",18351,30919,"Íbúðareign",108.4,0,3,1,180,"Grafarholt"
"18352",18352,25480,"Íbúðareign",103.9,0,2,1,3000,"Akranes"
"18353",18353,12693,"Parhús",113.2,0,3,2,8200,"Vestmannaeyjar"
"18354",18354,31210,"Einbýlishús",264,0,8,0,8200,"Vestmannaeyjar"
"18355",18355,19080,"Gistihús",134.4,0,6,1,8200,"Vestmannaeyjar"
"18356",18356,31128,"Einbýlishús",165.6,0,4,1,8010,"Selfoss"
"18357",18357,24134,"Raðhús",122.7,0,3,1,8020,"Hveragerði"
"18358",18358,19500,"Einbýlishús",174.3,0,5,2,8055,"Árnessvæði"
"18359",18359,24285,"Íbúðareign",103.5,0,2,1,2050,"Keflavík"
"18360",18360,44300,"Íbúðareign",113.5,2,2,1,600,"Hafnarfjörður"
"18361",18361,27380,"Íbúðareign",111.7,0,3,1,630,"Hafnarfjörður - Vellir"
"18362",18362,23654,"Íbúðareign",68.9,1,1,1,180,"Grafarholt"
"18363",18363,59186,"Einbýlishús",277.2,0,11,2,150,"Seljahverfi"
"18364",18364,32957,"Íbúðareign",143.2,0,2,1,25,"Miðbær: Frá Bræðraborgarstíg að Tjörn"
"18365",18365,32117,"Íbúðareign",107.3,0,2,2,100,"Laugarneshverfi/Vogar"
"18366",18366,29986,"Einbýlishús",191.2,0,5,1,3000,"Akranes"
"18367",18367,35474,"Raðhús",104.4,0,2,1,3000,"Akranes"
"18368",18368,13871,"Einbýlishús",149.1,0,3,0,5030,"Skagaströnd"
"18369",18369,46214,"Íbúðareign",130.3,0,2,2,91,"Háaleiti/Skeifa"
"18370",18370,31950,"Íbúðareign",90.1,1,2,1,600,"Hafnarfjörður"
"18371",18371,21700,"Einbýlishús",69.8,0,2,1,600,"Hafnarfjörður"
"18372",18372,38667,"Íbúðareign",142,1,3,1,351,"Kópavogur: Kórar"
"18373",18373,30686,"Íbúðareign",107.9,0,4,1,330,"Kópavogur: Hjallar, Smárar"
"18374",18374,27978,"Einbýlishús",113,0,4,1,7110,"Egilsstaðir"
"18375",18375,34886,"Íbúðareign",104.5,0,3,1,270,"Norðlingaholt"
"18376",18376,18775,"Íbúðareign",84.4,0,1,1,160,"Hólar, Berg"
"18377",18377,31500,"Íbúðareign",116.2,1,2,1,810,"Mosfellsbær: Teigar, Krikar"
"18378",18378,22351,"Íbúðareign",91.1,0,3,1,170,"Neðra-Breiðholt"
"18379",18379,25995,"Íbúðareign",63.5,0,2,1,80,"Hlíðar"
"18380",18380,37445,"Íbúðareign",156.9,0,5,1,650,"Hafnarfjörður - Setberg"
"18381",18381,134919,"Einbýlishús",196.4,0,3,1,540,"Garðabær: Arnarnes"
"18382",18382,48830,"Einbýlishús",140.4,0,3,2,120,"Grafarvogur: Hamrar, Foldir, Hús"
"18383",18383,24665,"Íbúðareign",55.1,0,1,1,72,"Hagar/Melar vestan Hofsvallagötu"
"18384",18384,24000,"Einbýlishús",113,0,3,1,2050,"Keflavík"
"18385",18385,20000,"Íbúðareign",120.6,0,3,1,2040,"Njarðvík"
"18386",18386,40249,"Íbúðareign",103.5,0,2,2,100,"Laugarneshverfi/Vogar"
"18387",18387,26805,"Íbúðareign",70.6,0,1,2,80,"Hlíðar"
"18388",18388,20749,"Íbúðareign",92.2,0,3,1,161,"Fell"
"18389",18389,22482,"Íbúðareign",72.7,0,1,1,85,"Kringlan"
"18390",18390,26122,"Íbúðareign",100.2,0,3,1,150,"Seljahverfi"
"18391",18391,50224,"Einbýlishús",204.2,0,4,1,630,"Hafnarfjörður - Vellir"
"18392",18392,24783,"Íbúðareign",90.7,0,2,1,320,"Kópavogur: Austurbær"
"18393",18393,27083,"Íbúðareign",95.4,0,2,2,283,"Hvassaleiti"
"18394",18394,47590,"Íbúðareign",129.2,0,4,1,400,"Seltjarnarnes"
"18395",18395,34744,"Íbúðareign",97.5,0,2,1,90,"Holt/Tún"
"18396",18396,27567,"Íbúðareign",142.4,1,3,2,160,"Hólar, Berg"
"18397",18397,31151,"Íbúðareign",77.1,1,2,1,110,"Bryggjuhverfi"
"18398",18398,23876,"Íbúðareign",64.5,0,2,1,91,"Háaleiti/Skeifa"
"18399",18399,38543,"Íbúðarhús",134.6,0,3,1,600,"Hafnarfjörður"
"18400",18400,45199,"Raðhús",180.3,0,4,2,630,"Hafnarfjörður - Vellir"
"18401",18401,35100,"Íbúðareign",96.5,2,3,1,600,"Hafnarfjörður"
"18402",18402,42940,"Einbýlishús",134.6,0,4,2,600,"Hafnarfjörður"
"18403",18403,35219,"Parhús",203.4,0,5,2,300,"Kópavogur: Vesturbær"
